question,predicted_paper,correct_paper,is_correct,retrieved_ids,retrieved_scores,retrieved_chunks,latency_ms
What techniques improve Transformer training speed without losing performance?,2510.11073v1,,,"['2510.11073v1', '2510.09187v1', '2510.12850v1', '2509.23158v1', '2510.12850v1']","[0.07354348231704087, 0.07002978600442081, 0.06958342287839536, 0.05116340248945674, 0.05062033407590502]","['to alter the identity information within the facial image. The process begins with a feature extractor that transforms input image into the deep feature map which consists of a series of convolution l', 'Sen et al. This work uses a shorter sequence length of 15 frames and introduces random frame sampling as a data augmentation technique. This can improve model generalization by introducing variability', 'of the BERT model implementing gradient accumulation and utilizing advanced tokenization and data augmentation. These techniques allowed the model to effectively combine its pretrained knowledge with ', 'scalable monitoring of cognitive impairment in aging populations with passive sensing. Cognitive decline associated with aging can significantly impair processing speed working memory and executive fu', 'in these domains. The AUC values for domains 90.78 87.36 88.78 89.93 further affirm the model s capability to separate positive and negative classes accurately. The confusion matrices for the Test dat']",17.971515655517578
Are deep learning methods effective for crime forecasting compared to traditional models?,2509.20913v1,2509.20913v1,True,"['2509.20913v1', '2509.20913v1', '2509.20913v1', '2509.20913v1', '2509.20913v1']","[0.21770376063076619, 0.16790683236562415, 0.1487895493781732, 0.1379040802228534, 0.11208998747634998]","['Due to the nonlinear and multidimensional spatiotemporal dynamics that often characterize crime patterns quantitative criminologists along with scholars from other fields 1 have thus recently become i', 'Deep Learning for Crime Forecasting: The Role of Mobility at Fine-grained Spatiotemporal Scales. To develop a deep learning framework to evaluate if and how incorporating micro-level mobility features', 'have been backed by extensive empirical evidence 24 36 38. Benefiting from the growing integration between traditional data and more innovative sources for a review see these studies usually include m', 'address these gaps in this research we propose a deep learning framework based on Convolutional Long Short-Term Memory Conv LSTM layers to perform spatiotemporal crime forecasting in microgeographic u', 'results are obtained when both mobility and sociodemographic features are used together with our deep learning model achieving the highest recall precision and F1 score in all four cities outperformin']",19.38915252685547
"Should I train separate models for different crime types, or combine them?",2509.20913v1,2509.20913v1,True,"['2509.20913v1', '2509.20913v1', '2509.20913v1', '2509.20913v1', '2509.20913v1']","[0.1546117858894527, 0.09897484496603187, 0.09419077885808616, 0.08541822749748268, 0.08518153642495711]","['predict most instances where at least one crime is likely to occur minimizing false negatives as intended. However the low precision results highlight how the extremely unbalanced nature of our foreca', 'that including additional data sources in combination with crime data allows the algorithm to learn more effectively the patterns leading to crime occurrence. Moreover the percentage difference betwee', 'focused on shipping and trade with a significant African American majority. In contrast Los Angeles is nearly six times larger characterized by a sprawling car-dependent structure and is predominantly', 'have been backed by extensive empirical evidence 24 36 38. Benefiting from the growing integration between traditional data and more innovative sources for a review see these studies usually include m', 'processes such as those concerning drug-related offenses. Additionally our model s statistical results particularly its low precision raise significant concerns that could have ethical implications if']",14.75834846496582
Which deep learning approaches work well for gamma/hadron separation?,2510.05736v1,2510.05736v1,True,"['2510.05736v1', '2510.05736v1', '2510.09187v1', '2510.05736v1', '2510.13937v1']","[0.17902569547104333, 0.14310429185569953, 0.09300877326900739, 0.07544475603486292, 0.07065441772765707]","['50 and the Fast CNN-GNN n 10 model trained via the split-training approach are shown. The applicability of deep learning-based models on IACT observational data remains a key challenge for several rea', 'Convolution and Graph-based Deep Learning Approaches for Gamma/Hadron Separation in Imaging Atmospheric Cherenkov Telescopes. The identification of γ-rays from the predominant hadronic-background is a', 'Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study. Cricket shot classification from video sequences remains a challenging problem in sports video analysis', 'representations. For example translational invariance in CNNs temporal dependence in RNNs and permutation equivariance in GNNs are all properties that align naturally with the structure of the data th', 'automated identification of minerals in geological samples significantly enhancing the efficiency and accuracy of mineralogical studies. The development of spectral databases has been crucial in advan']",15.564680099487305
What frameworks and optimization strategies were used to train DPCformer?,2510.08770v1,2510.08662v1,False,"['2510.08770v1', '2510.08770v1', '2510.08662v1', '2510.08116v1', '2510.08662v1']","[0.07870371141107305, 0.05906415092977438, 0.053014247116383514, 0.051818256106217986, 0.05076749326395671]","['test set and real-time input. The same hardware was used to train the model as was used to collect data A Lenovo Legion Pro 7i with NVIDIA RTX 4080. Data used and real-time testing area were homogeneo', 'yellow juice were used and two rooms were used in data collection Atrium and J234. This resulted in 8 combinations Room x Liquid x Modality. A variety of spill sizes were collected forming a diverse s', 'DTT 68.93% PH and 91.41% EW outperforming the second-best methods with improvements of 2.92% against Light GBM 0.74% over Cropformer and 1.10% beyond GEFormer Fig. 3a. Similarly in Beijing DPCformer r', 'difficult cases easier for the model resulting in increased robustness. Contrary to traditional intensity augmentations applied to preprocessed HU values our method does not introduce artifacts from s', '1D convolutional layers Conv1D and Re LU activations. The Conv1×1 term denotes a shortcut connection for dimensionality matching and BN is Batch Normalization. This module transforms the raw sequence ']",12.08639144897461
How do modern architectures perform on complex video tasks compared to older methods?,2510.09187v1,2510.09187v1,True,"['2510.09187v1', '2510.09187v1', '2510.09187v1', '2510.09187v1', '2509.20913v1']","[0.12703450611654166, 0.1256092188073936, 0.10925080275181825, 0.09664474637447318, 0.047144407691455587]","['Modern Deep Learning Approaches for Cricket Shot Classification: A Comprehensive Baseline Study. Cricket shot classification from video sequences remains a challenging problem in sports video analysis', 'and the Performance Gap Total 1 320 284 284 Our results strongly suggest that modern architectures when properly optimized are superior for complex video tasks. The SOTA model s success is attributabl', 'over traditional approaches. 2 The Performance Gap There is a stark contrast between the accuracies reported in the original Bhat et al. 99.2% and Sen et al. 93% papers and the results from our re-imp', 'research. While sports video analysis has seen substantial progress with deep learning cricket shot classification remains underexplored compared to other sports like soccer or basketball. Existing ap', 'Due to the nonlinear and multidimensional spatiotemporal dynamics that often characterize crime patterns quantitative criminologists along with scholars from other fields 1 have thus recently become i']",15.116214752197266
How can I train models stably with limited computational resources?,2510.12758v1,2510.12850v1,False,"['2510.12758v1', '2510.10822v1', '2510.13137v1', '2510.12758v1', '2510.11073v1']","[0.10247576433385247, 0.0969395742433313, 0.07614167418023042, 0.0743411875313391, 0.07181611323798981]","['the model to learn. Additionally Y rotation tends to have a small magnitude. Both reasons make it more difficult for the model to capture Y rotation changes compared with translation changes. Two poss', 'in DL models for CXR diagnosis. By replacing the final classification layer of a CNN with an XGBoost model we demonstrated that it is possible to significantly reduce disparities across sex age and ra', 'a novel multi-task learning architecture integrating 3D-CNNs and LSTMs to jointly model spatial and temporal features for action recognition. The 3D-CNN extracts spatiotemporal hierarchies from video ', 'viable option for potential real-world applications where computational resources and time are critical constraints. The consistent outperformance of DL-HMC++ across all datasets further underscores i', 'must also be transparent clearly explaining to patients how their data is protected and the reversible nature of the process. Technologically challenges include seamless integration with existing hosp']",17.42863655090332
Why is preprocessing important for Ethic-BERT’s performance?,2510.12850v1,2510.12850v1,True,"['2510.12850v1', '2510.12850v1', '2510.12850v1', '2510.10729v1', '2510.07320v1']","[0.35407406116220214, 0.09035686006859177, 0.07456333249221747, 0.05782483171682662, 0.056058967561588256]","['Ethic-BERT: An Enhanced Deep Learning Model for Ethical and Non-Ethical Content Classification. Developing AI systems capable of nuanced ethical reasoning is critical as they increasingly influence hu', 'Wadud et al. examine methods for offensive text classification emphasizing the need for improved multilingual detection. They introduce Deep-BERT a model combining CNN and BERT which enhances accuracy', 'study on deep learning models for hate speech detection concluding that fine-tuned Ro BERTa models outperformed CNNs and Bi LSTMs in a ternary classification system. Mnassri et al. explored a multi-ta', 'These include Sentiment Analysis This module employs VADER or BERT-based sentiment analysis models to capture the emotional polarity of a sentence. Sarcasm often involves polarity flips where positive', 'E.1 Loss Functions Classification Loss Cross-entropy for 4-class emotion recognition N X 4 X LCE 1 IV. RESULTS AND DISCUSSION j 1 yi j log pi j 8 N The experimental evaluation was conducted to assess ']",16.44587516784668
What are the main strengths of using an LSTM model for real-time sign language translation?,2510.13137v1,2510.13137v1,True,"['2510.13137v1', '2510.13137v1', '2510.13137v1', '2510.13137v1', '2510.13137v1']","[0.2780875830064769, 0.19817694184472515, 0.17793207992428076, 0.17441918306932383, 0.1508227797223933]","['CNNs offer higher classification accuracy LSTM models strike a better balance between accuracy speed and computational efficiency thus making them more appropriate for real-time sign language recognit', 'Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN. This study investigates the performance of 3D Convolutional Neural Networks 3D CNNs and Long Sh', '2024 their work highlights breakthroughs in spatiotemporal modeling and addresses challenges like limited datasets and cross-signer. Sign language is the primary way that people in the Deaf and Hard o', 'from raw sign language videos. Their work highlights the model s ability to process both spatial hand shapes and temporal gesture motion information simultaneously achieving high accuracy in gesture c', 'evaluating spatial-temporal architectures for region-specific sign languages. In their innovative work Ma et al. propose an enhanced 3D-CNN model incorporating attention mechanisms to improve focus on']",14.103174209594727
How does model selection affect responsiveness in real-time applications?,2510.13137v1,2510.13137v1,True,"['2510.13137v1', '2510.08770v1', '2510.13137v1', '2510.13050v1', '2510.13137v1']","[0.1277252627215386, 0.10340558874246286, 0.10335766823085299, 0.08109430220854139, 0.07255190560102227]","['CNNs offer higher classification accuracy LSTM models strike a better balance between accuracy speed and computational efficiency thus making them more appropriate for real-time sign language recognit', 'test set and real-time input. The same hardware was used to train the model as was used to collect data A Lenovo Legion Pro 7i with NVIDIA RTX 4080. Data used and real-time testing area were homogeneo', 'as input e.g. 30 RGB frames of 128×128 pixels preserving both shape and motion directly. 3D CNN Model Input Sequence of 3D hand landmarks Raw video frames e.g. 30×128×128×3 LSTM Explicitly designed fo', 'Auxiliary IMERG Final 0.1 × 0.1 1800 × 3600 Dense globally Auxiliary 3.1.2. Training Input Features Unlike the training targets that do not need to be available in real-time during operations the trai', 'Real-Time Sign Language to text Translation using Deep Learning: A Comparative study of LSTM and 3D CNN. This study investigates the performance of 3D Convolutional Neural Networks 3D CNNs and Long Sh']",11.941671371459961
